id,topic,slug
ur6TqIqffxvUeULM5wIm,-1,who-will-finish-1st-in-leagues-s3-m-b43a24ed50c3
1sfbjcTu6zgqjCVjqWA2,16,will-the-lk99-room-temp-ambient-pre
GrfxPS8wLngFhacbsG4o,8,which-team-will-win-the-2023-fifa-w-9730308e083d
U3zLgOZkGUE7cvG98961,-1,will-the-whales-win-this-market
Zk3pS09hFBuYrDL3kCKF,15,who-will-be-promoted-to-masters-fro
5ssg7ccYrrsEwZLYh9tP,3,will-google-search-include-a-chatbo
YVDsNCQWr7hUrAiFiKIV,-1,will-the-up-arrow-on-this-question-850f1c4e7fb0
YTIuuSsNRn2OlA4KykRM,1,will-biden-be-the-2024-democratic-n
G6Lj2ccHZyp8aHzwVchb,9,will-andrew-tate-be-found-guilty-of
Tb858CxvnaGL2955ZAlO,-1,manifold-haiku-what-word-comes-afte
NRLwgQYqCLk5zTasmxOn,2,will-the-average-probability-of-thi
VD6vOQuLb8hrmCJ8gD89,14,who-will-promote-to-masters-in-the
6fmIwAwDu0KO0YfvtRvK,-1,what-is-the-first-word-in-a-success
UXWt0LvLYNiC0PtZ9ZFJ,4,will-twitter-unban-destiny-in-2022
p66tCcsTNxSKuJQd0jKi,1,who-will-win-2024-us-presidential-e
usSjx2AtbUvfg7QNq5g2,4,will-realdonaldtrump-tweet-in-2023
cQNJViQfHF6PqwefqSuj,14,which-team-will-win-the-jugger-worl
BKr7KGDSkT6U3dGlqxIk,3,will-ai-wipe-out-humanity-before-th-d8733b2114a8
xoBW6LUh82fRuIMlC27u,11,who-will-win-stage-9-of-the-2023-to
AiEh38dIYVV5tOs1RmN3,9,will-donald-trump-be-arrested-befor
XSGxnh3VW8HHV256w3DS,16,when-will-we-know-whether-the-room
al19fZ0uIn29YFsDDu8S,0,will-destiny-reach-600k-subscribers
3ATCSK6ZhKtJTE6X0KsN,-1,what-films-will-be-nominated-for-be
zOeYvjJXX42LgySMybg3,3,in-which-year-will-a-majority-of-ai
4amdGgZFKTxUMC3Fym6F,1,will-joe-biden-win-the-2024-us-pres
FhQjuSZJYHv3lsZJgtQX,-1,which-of-the-mystical-sphinxes-july
R9ywbZdVqmhJpxpU70xs,4,21-will-donald-trump-make-at-least
qbsNysonzYUUPy8mh3bK,15,s3-who-will-be-promoted-to-masters
HXcNYlbHAqRx55ql00ly,0,will-destiny-cover-the-mr-girl-mani
ukPWG8OUbMxSaqDevLqi,-1,who-will-finish-bottom-3-in-leagues
vsSExV02paS7IuFqTVOO,4,will-realdonaldtrump-tweet-in-2022
mZoOercJWPMFPM6XxKfI,3,will-ai-wipe-out-humanity-before-th
BOJKSTtz2vOLPt5LoyXR,2,will-destiny-beat-factorio-space-ex
LZuynBJB6zTiKm0HZuDK,10,1-will-vladimir-putin-be-president
xmgQKlpoIuKVouzTB6Rd,0,will-aella-be-romantically-involved
Pbq0ZFnZbp1oAfT4Ru9W,15,who-will-be-promoted-to-masters-fro-c705dfc11718
8dD3vNDbHnPCx3movLl9,6,will-ukraine-have-control-over-crim
pz4dHnKYn49woBUK83Mq,1,will-donald-trump-be-the-republican
A9C7Ol7FbKUvCjbJ37bz,12,will-a-nuclear-weapon-be-detonated-d8af7cf07475
N8K3UmdFayN5bD0DhUyZ,3,will-gpt4-be-released-before-march
NIWSQROI4AFOMepWzcmy,0,planecrash-will-belmarniss-have-any
YeQidcr1q8SeMKdamus4,10,who-orchestrated-jfks-assassination
fu21p5BIGWCMXwFpk3Rq,9,23-will-donald-trump-get-indicted-o
5S3AApt7AYNMYmdDFaq0,12,will-a-nuclear-weapon-be-detonated-b71e74f6a8e4
xkbrPg1hBmOQcvnKLu40,2,how-much-will-barbenheimer-make-in
Xcj5t9zcksNnrfDBF75B,16,who-will-be-the-first-person-or-gro
d7Lat25DQw0b0Hmh1Mit,0,next-two-months-does-he-finish-fact
etka6V8IgKYg9AGQdJrv,-1,will-lex-fridman-interview-vladimir-0cc5888760ac
